pincode,district,state
110089,North West,Delhi
110090,North East,Delhi
110091,East,Delhi
110092,East,Delhi
110092,Shahdara,Delhi
110093,North East,Delhi
110094,North East,Delhi
110095,Shahdara,Delhi
110096,East,Delhi
110097,South West,Delhi
110099,North West,Delhi
110102,New Delhi,Delhi
110106,North,Delhi
110110,North West,Delhi
110119,South East,Delhi
110124,South,Delhi
110151,Shahdara,Delhi
110195,Shahdara,Delhi
121001,Faridabad,Haryana
121002,Faridabad,Haryana
121003,Faridabad,Haryana
121004,Faridabad,Haryana
121004,Palwal,Haryana
121005,Faridabad,Haryana
121006,Faridabad,Haryana
121007,Faridabad,Haryana
121008,Faridabad,Haryana
121009,Faridabad,Haryana
121010,Faridabad,Haryana
121012,Faridabad,Haryana
121013,Faridabad,Haryana
121014,Faridabad,Haryana
121015,Faridabad,Haryana
121101,Faridabad,Haryana
121102,Faridabad,Haryana
121102,Palwal,Haryana
121103,Palwal,Haryana
121105,Palwal,Haryana
121106,Palwal,Haryana
121107,Palwal,Haryana
122001,Gurugram,Haryana
122002,Gurugram,Haryana
122003,Gurugram,Haryana
122004,Gurugram,Haryana
122005,Gurugram,Haryana
122006,Gurugram,Haryana
122007,Gurugram,Haryana
122008,Gurugram,Haryana
122009,Gurugram,Haryana
122010,Gurugram,Haryana
122011,Gurugram,Haryana
122012,Gurugram,Haryana
122015,Gurugram,Haryana
122016,Gurugram,Haryana
122017,Gurugram,Haryana
122018,Gurugram,Haryana
122051,Gurugram,Haryana
122052,Gurugram,Haryana
122098,Gurugram,Haryana
122101,Gurugram,Haryana
122102,Gurugram,Haryana
122103,Gurugram,Haryana
122103,Nuh,Haryana
122104,Nuh,Haryana
122105,Nuh,Haryana
122107,Nuh,Haryana
122108,Nuh,Haryana
122413,Gurugram,Haryana
122414,Gurugram,Haryana
122502,Gurugram,Haryana
122502,Rewari,Haryana
122503,Gurugram,Haryana
122504,Gurugram,Haryana
122505,Gurugram,Haryana
122506,Gurugram,Haryana
122508,Nuh,Haryana
123001,Mahendragarh,Haryana
123021,Mahendragarh,Haryana
123023,Mahendragarh,Haryana
123024,Mahendragarh,Haryana
123027,Mahendragarh,Haryana
123028,Mahendragarh,Haryana
123029,Mahendragarh,Haryana
123031,Mahendragarh,Haryana
123034,Mahendragarh,Haryana
123035,Rewari,Haryana
123101,Rewari,Haryana
123102,Rewari,Haryana
123103,Rewari,Haryana
123106,Rewari,Haryana
123110,Rewari,Haryana
123301,Rewari,Haryana
123302,Rewari,Haryana
123303,Rewari,Haryana
123304,Mahendragarh,Haryana
123304,Rewari,Haryana
123401,Rewari,Haryana
123411,Rewari,Haryana
123412,Rewari,Haryana
123501,Rewari,Haryana
124001,Rohtak,Haryana
124010,Rohtak,Haryana
124021,Jhajjar,Haryana
124021,Rohtak,Haryana
124022,Rohtak,Haryana
124102,Jhajjar,Haryana
124103,Jhajjar,Haryana
124104,Jhajjar,Haryana
124105,Jhajjar,Haryana
124106,Jhajjar,Haryana
124107,Jhajjar,Haryana
124108,Jhajjar,Haryana
124109,Jhajjar,Haryana
124111,Rohtak,Haryana
124112,Rohtak,Haryana
124113,Rohtak,Haryana
124141,Jhajjar,Haryana
124142,Jhajjar,Haryana
124146,Jhajjar,Haryana
124201,Jhajjar,Haryana
124201,Rohtak,Haryana
124202,Jhajjar,Haryana
124202,Rohtak,Haryana
124303,Rohtak,Haryana
124401,Rohtak,Haryana
124404,Jhajjar,Haryana
124404,Rohtak,Haryana
124406,Rohtak,Haryana
124411,Rohtak,Haryana
124412,Jhajjar,Haryana
124412,Rohtak,Haryana
124501,Jhajjar,Haryana
124501,Rohtak,Haryana
124504,Jhajjar,Haryana
124505,Jhajjar,Haryana
124506,Jhajjar,Haryana
124507,Jhajjar,Haryana
124508,Jhajjar,Haryana
124513,Rohtak,Haryana
124514,Rohtak,Haryana
124515,Rohtak,Haryana
125001,Hisar,Haryana
125004,Hisar,Haryana
125005,Hisar,Haryana
125006,Hisar,Haryana
125007,Hisar,Haryana
125011,Hisar,Haryana
125033,Hisar,Haryana
125037,Hisar,Haryana
125038,Hisar,Haryana
125039,Hisar,Haryana
125042,Hisar,Haryana
125044,Hisar,Haryana
125047,Fatehabad,Haryana
125047,Hisar,Haryana
125048,Fatehabad,Haryana
125049,Hisar,Haryana
125050,Fatehabad,Haryana
125050,Hisar,Haryana
125051,Fatehabad,Haryana
125052,Hisar,Haryana
125053,Fatehabad,Haryana
125054,Sirsa,Haryana
125055,Sirsa,Haryana
125056,Sirsa,Haryana
125058,Sirsa,Haryana
125060,Sirsa,Haryana
125061,Hisar,Haryana
125075,Sirsa,Haryana
125076,Sirsa,Haryana
125077,Sirsa,Haryana
125078,Sirsa,Haryana
125101,Sirsa,Haryana
125102,Sirsa,Haryana
125103,Sirsa,Haryana
125104,Sirsa,Haryana
125106,Fatehabad,Haryana
125110,Sirsa,Haryana
125111,Fatehabad,Haryana
125112,Fatehabad,Haryana
125112,Hisar,Haryana
125113,Fatehabad,Haryana
125113,Hisar,Haryana
125120,Fatehabad,Haryana
125121,Hisar,Haryana
125133,Fatehabad,Haryana
125201,Sirsa,Haryana
126101,Jind,Haryana
126102,Jind,Haryana
126110,Jind,Haryana
126111,Jind,Haryana
126112,Jind,Haryana
126113,Jind,Haryana
126114,Jind,Haryana
126115,Jind,Haryana
126116,Jind,Haryana
126125,Jind,Haryana
126152,Jind,Haryana
127021,Bhiwani,Haryana
127022,Charki Dadri,Haryana
127025,Charki Dadri,Haryana
127026,Charki Dadri,Haryana
127027,Bhiwani,Haryana
127028,Bhiwani,Haryana
127029,Bhiwani,Haryana
127030,Bhiwani,Haryana
127031,Bhiwani,Haryana
127032,Bhiwani,Haryana
127035,Bhiwani,Haryana
127040,Bhiwani,Haryana
127041,Bhiwani,Haryana
127042,Charki Dadri,Haryana
127043,Bhiwani,Haryana
127045,Bhiwani,Haryana
127046,Bhiwani,Haryana
127111,Bhiwani,Haryana
127114,Bhiwani,Haryana
127201,Bhiwani,Haryana
127306,Charki Dadri,Haryana
127307,Charki Dadri,Haryana
127308,Charki Dadri,Haryana
127309,Bhiwani,Haryana
127310,Charki Dadri,Haryana
127311,Bhiwani,Haryana
127312,Charki Dadri,Haryana
131001,Sonipat,Haryana
131021,Sonipat,Haryana
131022,Sonipat,Haryana
131023,Sonipat,Haryana
131024,Sonipat,Haryana
131027,Sonipat,Haryana
131028,Sonipat,Haryana
131029,Sonipat,Haryana
131030,Sonipat,Haryana
131039,Sonipat,Haryana
131101,Sonipat,Haryana
131102,Sonipat,Haryana
131103,Sonipat,Haryana
131301,Sonipat,Haryana
131302,Sonipat,Haryana
131304,Sonipat,Haryana
131305,Sonipat,Haryana
131306,Sonipat,Haryana
131402,Sonipat,Haryana
131403,Sonipat,Haryana
131408,Sonipat,Haryana
131409,Sonipat,Haryana
132001,Karnal,Haryana
132022,Karnal,Haryana
132023,Karnal,Haryana
132024,Karnal,Haryana
132036,Karnal,Haryana
132037,Karnal,Haryana
132039,Karnal,Haryana
132040,Karnal,Haryana
132041,Karnal,Haryana
132046,Karnal,Haryana
132054,Karnal,Haryana
132101,Panipat,Haryana
132102,Panipat,Haryana
132103,Panipat,Haryana
132104,Panipat,Haryana
132105,Panipat,Haryana
132106,Panipat,Haryana
132107,Panipat,Haryana
132108,Panipat,Haryana
132113,Panipat,Haryana
132114,Karnal,Haryana
132115,Panipat,Haryana
132116,Karnal,Haryana
132117,Karnal,Haryana
132122,Panipat,Haryana
132140,Panipat,Haryana
132145,Panipat,Haryana
132157,Karnal,Haryana
133001,Ambala,Haryana
133004,Ambala,Haryana
133005,Ambala,Haryana
133006,Ambala,Haryana
133008,Ambala,Haryana
133010,Ambala,Haryana
133101,Ambala,Haryana
133102,Ambala,Haryana
133103,Yamunanagar,Haryana
133104,Ambala,Haryana
133201,Ambala,Haryana
133202,Ambala,Haryana
133202,Yamunanagar,Haryana
133203,Ambala,Haryana
133204,Yamunanagar,Haryana
133205,Ambala,Haryana
133206,Ambala,Haryana
133206,Yamunanagar,Haryana
133207,Ambala,Haryana
133301,Panchkula,Haryana
133302,Panchkula,Haryana
134003,Ambala,Haryana
134005,Ambala,Haryana
134007,Ambala,Haryana
134008,Ambala,Haryana
134101,Panchkula,Haryana
134102,Panchkula,Haryana
134103,Panchkula,Haryana
134104,Panchkula,Haryana
134105,Panchkula,Haryana
134107,Panchkula,Haryana
134108,Panchkula,Haryana
134109,Panchkula,Haryana
134112,Panchkula,Haryana
134113,Panchkula,Haryana
134114,Panchkula,Haryana
134116,Panchkula,Haryana
134117,Panchkula,Haryana
134118,Ambala,Haryana
134118,Panchkula,Haryana
134201,Ambala,Haryana
134201,Panchkula,Haryana
134202,Ambala,Haryana
134203,Ambala,Haryana
134204,Panchkula,Haryana
134204,Yamunanagar,Haryana
134205,Panchkula,Haryana
135001,Yamunanagar,Haryana
135002,Yamunanagar,Haryana
135003,Yamunanagar,Haryana
135004,Yamunanagar,Haryana
135021,Yamunanagar,Haryana
135101,Yamunanagar,Haryana
135102,Yamunanagar,Haryana
135103,Yamunanagar,Haryana
135106,Yamunanagar,Haryana
135133,Yamunanagar,Haryana
136020,Kaithal,Haryana
136021,Kaithal,Haryana
136026,Kaithal,Haryana
136027,Kaithal,Haryana
136030,Kurukshetra,Haryana
136033,Kaithal,Haryana
136034,Kaithal,Haryana
136035,Kaithal,Haryana
136038,Kurukshetra,Haryana
136042,Kaithal,Haryana
136043,Kaithal,Haryana
136044,Kaithal,Haryana
136117,Kaithal,Haryana
136118,Kurukshetra,Haryana
136119,Kurukshetra,Haryana
136128,Kurukshetra,Haryana
136129,Kurukshetra,Haryana
136130,Kurukshetra,Haryana
136131,Kurukshetra,Haryana
136132,Kurukshetra,Haryana
136134,Kurukshetra,Haryana
136135,Kurukshetra,Haryana
136136,Kurukshetra,Haryana
136156,Kurukshetra,Haryana
140001,Rupnagar,Punjab
140101,Rupnagar,Punjab
140102,Rupnagar,Punjab
140103,S.a.s Nagar,Punjab
140108,Rupnagar,Punjab
140109,S.a.s Nagar,Punjab
140110,S.a.s Nagar,Punjab
140111,Rupnagar,Punjab
140112,Rupnagar,Punjab
140113,Rupnagar,Punjab
140114,Rupnagar,Punjab
140115,Rupnagar,Punjab
140116,Rupnagar,Punjab
140117,Rupnagar,Punjab
140118,Rupnagar,Punjab
140119,Rupnagar,Punjab
140123,Rupnagar,Punjab
140124,Rupnagar,Punjab
140125,Rupnagar,Punjab
140126,Rupnagar,Punjab
140127,Rupnagar,Punjab
140128,Rupnagar,Punjab
140133,Rupnagar,Punjab
140201,S.a.s Nagar,Punjab
140301,S.a.s Nagar,Punjab
140306,S.a.s Nagar,Punjab
140307,S.a.s Nagar,Punjab
140308,S.a.s Nagar,Punjab
140401,Patiala,Punjab
140402,Fatehgarh Sahib,Punjab
140402,Patiala,Punjab
140405,Fatehgarh Sahib,Punjab
140406,Fatehgarh Sahib,Punjab
140407,Fatehgarh Sahib,Punjab
140408,Fatehgarh Sahib,Punjab
140412,Fatehgarh Sahib,Punjab
140413,S.a.s Nagar,Punjab
140417,Patiala,Punjab
140501,S.a.s Nagar,Punjab
140506,S.a.s Nagar,Punjab
140507,S.a.s Nagar,Punjab
140601,Patiala,Punjab
140601,S.a.s Nagar,Punjab
140602,Fatehgarh Sahib,Punjab
140602,Patiala,Punjab
140603,S.a.s Nagar,Punjab
140604,S.a.s Nagar,Punjab
140701,Patiala,Punjab
140702,Patiala,Punjab
140802,Fatehgarh Sahib,Punjab
140901,S.a.s Nagar,Punjab
141001,Ludhiana,Punjab
141002,Ludhiana,Punjab
141003,Ludhiana,Punjab
141004,Ludhiana,Punjab
141006,Ludhiana,Punjab
141007,Ludhiana,Punjab
141008,Ludhiana,Punjab
141010,Ludhiana,Punjab
141011,Ludhiana,Punjab
141012,Ludhiana,Punjab
141013,Ludhiana,Punjab
141014,Ludhiana,Punjab
141015,Ludhiana,Punjab
141016,Ludhiana,Punjab
141101,Ludhiana,Punjab
141102,Ludhiana,Punjab
141103,Ludhiana,Punjab
141104,Ludhiana,Punjab
141105,Ludhiana,Punjab
141106,Ludhiana,Punjab
141107,Ludhiana,Punjab
141108,Ludhiana,Punjab
141109,Ludhiana,Punjab
141110,Ludhiana,Punjab
141112,Ludhiana,Punjab
141113,Ludhiana,Punjab
141114,Ludhiana,Punjab
141115,Ludhiana,Punjab
141116,Ludhiana,Punjab
141117,Ludhiana,Punjab
141118,Ludhiana,Punjab
141119,Ludhiana,Punjab
141120,Ludhiana,Punjab
141121,Ludhiana,Punjab
141122,Ludhiana,Punjab
141123,Ludhiana,Punjab
141125,Ludhiana,Punjab
141126,Ludhiana,Punjab
141127,Ludhiana,Punjab
141201,Ludhiana,Punjab
141202,Ludhiana,Punjab
141203,Ludhiana,Punjab
141204,Ludhiana,Punjab
141205,Ludhiana,Punjab
141206,Ludhiana,Punjab
141401,Ludhiana,Punjab
141411,Fatehgarh Sahib,Punjab
141412,Ludhiana,Punjab
141413,Ludhiana,Punjab
141414,Ludhiana,Punjab
141415,Ludhiana,Punjab
141416,Ludhiana,Punjab
141417,Ludhiana,Punjab
141418,Ludhiana,Punjab
141419,Ludhiana,Punjab
141421,Ludhiana,Punjab
141422,Ludhiana,Punjab
141801,Fatehgarh Sahib,Punjab
142001,Moga,Punjab
142002,Moga,Punjab
142003,Moga,Punjab
142011,Moga,Punjab
142021,Ludhiana,Punjab
142022,Ludhiana,Punjab
142023,Ludhiana,Punjab
142024,Ludhiana,Punjab
142025,Ludhiana,Punjab
142026,Ludhiana,Punjab
142027,Ludhiana,Punjab
142029,Ludhiana,Punjab
142030,Ludhiana,Punjab
142031,Ludhiana,Punjab
142032,Ludhiana,Punjab
142033,Ludhiana,Punjab
142034,Ludhiana,Punjab
142035,Ludhiana,Punjab
142036,Ludhiana,Punjab
142037,Moga,Punjab
142038,Moga,Punjab
142039,Moga,Punjab
142040,Moga,Punjab
142041,Moga,Punjab
142042,Moga,Punjab
142043,Moga,Punjab
142044,Firozepur,Punjab
142045,Moga,Punjab
142046,Moga,Punjab
142047,Firozepur,Punjab
142048,Moga,Punjab
142049,Moga,Punjab
142050,Firozepur,Punjab
142052,Firozepur,Punjab
142053,Moga,Punjab
142054,Moga,Punjab
142055,Moga,Punjab
142056,Moga,Punjab
142057,Moga,Punjab
142058,Moga,Punjab
142060,Firozepur,Punjab
143001,Amritsar,Punjab
143002,Amritsar,Punjab
143004,Amritsar,Punjab
143005,Amritsar,Punjab
143006,Amritsar,Punjab
143008,Amritsar,Punjab
143009,Amritsar,Punjab
143022,Amritsar,Punjab
143101,Amritsar,Punjab
143102,Amritsar,Punjab
143103,Amritsar,Punjab
143105,Amritsar,Punjab
143107,Amritsar,Punjab
143107,Tarn Taran,Punjab
143108,Amritsar,Punjab
143109,Amritsar,Punjab
143111,Amritsar,Punjab
143112,Amritsar,Punjab
143113,Amritsar,Punjab
143114,Amritsar,Punjab
143115,Amritsar,Punjab
143116,Amritsar,Punjab
143117,Tarn Taran,Punjab
143118,Tarn Taran,Punjab
143119,Amritsar,Punjab
143149,Amritsar,Punjab
143201,Amritsar,Punjab
143202,Amritsar,Punjab
143203,Amritsar,Punjab
143204,Amritsar,Punjab
143205,Amritsar,Punjab
143301,Tarn Taran,Punjab
143302,Tarn Taran,Punjab
143303,Tarn Taran,Punjab
143304,Tarn Taran,Punjab
143305,Tarn Taran,Punjab
143401,Tarn Taran,Punjab
143402,Tarn Taran,Punjab
143406,Tarn Taran,Punjab
143407,Tarn Taran,Punjab
143408,Tarn Taran,Punjab
143409,Tarn Taran,Punjab
143410,Tarn Taran,Punjab
143411,Tarn Taran,Punjab
143412,Tarn Taran,Punjab
143413,Amritsar,Punjab
143414,Tarn Taran,Punjab
143415,Tarn Taran,Punjab
143416,Tarn Taran,Punjab
143419,Tarn Taran,Punjab
143422,Tarn Taran,Punjab
143501,Amritsar,Punjab
143502,Amritsar,Punjab
143504,Amritsar,Punjab
143505,Gurdaspur,Punjab
143506,Gurdaspur,Punjab
143507,Gurdaspur,Punjab
143511,Gurdaspur,Punjab
143512,Gurdaspur,Punjab
143513,Gurdaspur,Punjab
143514,Gurdaspur,Punjab
143515,Gurdaspur,Punjab
143516,Gurdaspur,Punjab
143517,Gurdaspur,Punjab
143518,Gurdaspur,Punjab
143519,Gurdaspur,Punjab
143520,Gurdaspur,Punjab
143521,Gurdaspur,Punjab
143525,Gurdaspur,Punjab
143525,Pathankot,Punjab
143526,Gurdaspur,Punjab
143527,Gurdaspur,Punjab
143528,Gurdaspur,Punjab
143529,Gurdaspur,Punjab
143530,Gurdaspur,Punjab
143531,Gurdaspur,Punjab
143531,Pathankot,Punjab
143532,Gurdaspur,Punjab
143533,Gurdaspur,Punjab
143533,Pathankot,Punjab
143534,Pathankot,Punjab
143601,Amritsar,Punjab
143602,Gurdaspur,Punjab
143603,Amritsar,Punjab
143604,Gurdaspur,Punjab
143605,Gurdaspur,Punjab
143606,Amritsar,Punjab
144001,Jalandhar,Punjab
144002,Jalandhar,Punjab
144003,Jalandhar,Punjab
144005,Jalandhar,Punjab
144006,Jalandhar,Punjab
144007,Jalandhar,Punjab
144008,Jalandhar,Punjab
144009,Jalandhar,Punjab
144010,Jalandhar,Punjab
144020,Jalandhar,Punjab
144021,Jalandhar,Punjab
144022,Jalandhar,Punjab
144023,Jalandhar,Punjab
144024,Jalandhar,Punjab
144025,Jalandhar,Punjab
144026,Jalandhar,Punjab
144027,Jalandhar,Punjab
144028,Jalandhar,Punjab
144029,Jalandhar,Punjab
144029,Shahid Bhagat Singh Nagar,Punjab
144030,Jalandhar,Punjab
144031,Jalandhar,Punjab
144032,Jalandhar,Punjab
144033,Jalandhar,Punjab
144034,Jalandhar,Punjab
144035,Jalandhar,Punjab
144036,Jalandhar,Punjab
144037,Jalandhar,Punjab
144039,Jalandhar,Punjab
144040,Jalandhar,Punjab
144041,Jalandhar,Punjab
144042,Jalandhar,Punjab
144043,Jalandhar,Punjab
144044,Jalandhar,Punjab
144101,Jalandhar,Punjab
144102,Jalandhar,Punjab
144103,Jalandhar,Punjab
144104,Jalandhar,Punjab
144105,Hoshiarpur,Punjab
144106,Jalandhar,Punjab
144201,Jalandhar,Punjab
144202,Hoshiarpur,Punjab
144204,Hoshiarpur,Punjab
144205,Hoshiarpur,Punjab
144206,Hoshiarpur,Punjab
144207,Hoshiarpur,Punjab
144208,Hoshiarpur,Punjab
144209,Hoshiarpur,Punjab
144210,Hoshiarpur,Punjab
144211,Hoshiarpur,Punjab
144212,Hoshiarpur,Punjab
144213,Hoshiarpur,Punjab
144214,Hoshiarpur,Punjab
144216,Hoshiarpur,Punjab
144221,Hoshiarpur,Punjab
144222,Hoshiarpur,Punjab
144223,Hoshiarpur,Punjab
144224,Hoshiarpur,Punjab
144301,Jalandhar,Punjab
144302,Jalandhar,Punjab
144303,Jalandhar,Punjab
144305,Hoshiarpur,Punjab
144306,Hoshiarpur,Punjab
144311,Jalandhar,Punjab
144401,Kapurthala,Punjab
144402,Kapurthala,Punjab
144403,Kapurthala,Punjab
144404,Hoshiarpur,Punjab
144405,Kapurthala,Punjab
144406,Hoshiarpur,Punjab
144407,Kapurthala,Punjab
144408,Kapurthala,Punjab
144409,Jalandhar,Punjab
144410,Jalandhar,Punjab
144411,Jalandhar,Punjab
144411,Kapurthala,Punjab
144415,Shahid Bhagat Singh Nagar,Punjab
144416,Jalandhar,Punjab
144417,Shahid Bhagat Singh Nagar,Punjab
144418,Jalandhar,Punjab
144419,Jalandhar,Punjab
144421,Shahid Bhagat Singh Nagar,Punjab
144422,Shahid Bhagat Singh Nagar,Punjab
144501,Shahid Bhagat Singh Nagar,Punjab
144502,Jalandhar,Punjab
144502,Shahid Bhagat Singh Nagar,Punjab
144503,Shahid Bhagat Singh Nagar,Punjab
144504,Shahid Bhagat Singh Nagar,Punjab
144505,Shahid Bhagat Singh Nagar,Punjab
144506,Shahid Bhagat Singh Nagar,Punjab
144507,Shahid Bhagat Singh Nagar,Punjab
144508,Shahid Bhagat Singh Nagar,Punjab
144509,Shahid Bhagat Singh Nagar,Punjab
144510,Shahid Bhagat Singh Nagar,Punjab
144511,Shahid Bhagat Singh Nagar,Punjab
144512,Shahid Bhagat Singh Nagar,Punjab
144513,Shahid Bhagat Singh Nagar,Punjab
144514,Shahid Bhagat Singh Nagar,Punjab
144515,Shahid Bhagat Singh Nagar,Punjab
144516,Shahid Bhagat Singh Nagar,Punjab
144517,Shahid Bhagat Singh Nagar,Punjab
144518,Shahid Bhagat Singh Nagar,Punjab
144519,Hoshiarpur,Punjab
144520,Hoshiarpur,Punjab
144521,Shahid Bhagat Singh Nagar,Punjab
144522,Shahid Bhagat Singh Nagar,Punjab
144523,Hoshiarpur,Punjab
144524,Shahid Bhagat Singh Nagar,Punjab
144525,Shahid Bhagat Singh Nagar,Punjab
144526,Shahid Bhagat Singh Nagar,Punjab
144527,Hoshiarpur,Punjab
144528,Hoshiarpur,Punjab
144529,Hoshiarpur,Punjab
144530,Hoshiarpur,Punjab
144531,Hoshiarpur,Punjab
144532,Hoshiarpur,Punjab
144533,Shahid Bhagat Singh Nagar,Punjab
144601,Kapurthala,Punjab
144602,Kapurthala,Punjab
144603,Jalandhar,Punjab
144603,Kapurthala,Punjab
144606,Kapurthala,Punjab
144620,Kapurthala,Punjab
144621,Kapurthala,Punjab
144622,Kapurthala,Punjab
144623,Jalandhar,Punjab
144623,Kapurthala,Punjab
144624,Kapurthala,Punjab
144625,Jalandhar,Punjab
144625,Kapurthala,Punjab
144626,Kapurthala,Punjab
144628,Kapurthala,Punjab
144629,Jalandhar,Punjab
144630,Jalandhar,Punjab
144631,Kapurthala,Punjab
144632,Jalandhar,Punjab
144632,Kapurthala,Punjab
144632,Shahid Bhagat Singh Nagar,Punjab
144633,Jalandhar,Punjab
144701,Jalandhar,Punjab
144702,Jalandhar,Punjab
144703,Jalandhar,Punjab
144801,Jalandhar,Punjab
144802,Kapurthala,Punjab
144803,Jalandhar,Punjab
144804,Kapurthala,Punjab
144805,Jalandhar,Punjab
144806,Jalandhar,Punjab
144819,Kapurthala,Punjab
145001,Pathankot,Punjab
145002,Gurdaspur,Punjab
145022,Pathankot,Punjab
145023,Pathankot,Punjab
145024,Pathankot,Punjab
145025,Pathankot,Punjab
145026,Pathankot,Punjab
145027,Pathankot,Punjab
145029,Pathankot,Punjab
145101,Pathankot,Punjab
146001,Hoshiarpur,Punjab
146021,Hoshiarpur,Punjab
146022,Hoshiarpur,Punjab
146023,Hoshiarpur,Punjab
146024,Hoshiarpur,Punjab
146101,Hoshiarpur,Punjab
146102,Hoshiarpur,Punjab
146103,Hoshiarpur,Punjab
146104,Hoshiarpur,Punjab
146105,Hoshiarpur,Punjab
146106,Hoshiarpur,Punjab
146107,Hoshiarpur,Punjab
146108,Hoshiarpur,Punjab
146109,Hoshiarpur,Punjab
146110,Hoshiarpur,Punjab
146111,Hoshiarpur,Punjab
146112,Hoshiarpur,Punjab
146113,Hoshiarpur,Punjab
146114,Hoshiarpur,Punjab
146115,Hoshiarpur,Punjab
146116,Hoshiarpur,Punjab
147001,Patiala,Punjab
147002,Patiala,Punjab
147003,Patiala,Punjab
147004,Patiala,Punjab
147005,Patiala,Punjab
147006,Patiala,Punjab
147007,Patiala,Punjab
147008,Patiala,Punjab
147021,Patiala,Punjab
147101,Patiala,Punjab
147102,Patiala,Punjab
147103,Patiala,Punjab
147104,Fatehgarh Sahib,Punjab
147104,Patiala,Punjab
147105,Patiala,Punjab
147111,Patiala,Punjab
147201,Patiala,Punjab
147202,Patiala,Punjab
147203,Fatehgarh Sahib,Punjab
147301,Fatehgarh Sahib,Punjab
148001,Sangrur,Punjab
148002,Sangrur,Punjab
148017,Sangrur,Punjab
148018,Malerkotla,Punjab
148018,Sangrur,Punjab
148019,Malerkotla,Punjab
148020,Malerkotla,Punjab
148020,Sangrur,Punjab
148021,Malerkotla,Punjab
148022,Malerkotla,Punjab
148022,Sangrur,Punjab
148023,Malerkotla,Punjab
148023,Sangrur,Punjab
148024,Barnala,Punjab
148024,Sangrur,Punjab
148025,Barnala,Punjab
148025,Sangrur,Punjab
148026,Sangrur,Punjab
148027,Sangrur,Punjab
148028,Sangrur,Punjab
148029,Sangrur,Punjab
148030,Sangrur,Punjab
148031,Sangrur,Punjab
148033,Sangrur,Punjab
148034,Sangrur,Punjab
148035,Sangrur,Punjab
148100,Barnala,Punjab
148101,Barnala,Punjab
148102,Barnala,Punjab
148103,Barnala,Punjab
148104,Barnala,Punjab
148105,Barnala,Punjab
148106,Barnala,Punjab
148106,Sangrur,Punjab
148107,Barnala,Punjab
148108,Barnala,Punjab
148109,Barnala,Punjab
151001,Bathinda,Punjab
151002,Bathinda,Punjab
151003,Bathinda,Punjab
151004,Bathinda,Punjab
151005,Bathinda,Punjab
151006,Bathinda,Punjab
151007,Bathinda,Punjab
151101,Bathinda,Punjab
151102,Bathinda,Punjab
151103,Bathinda,Punjab
151104,Bathinda,Punjab
151105,Bathinda,Punjab
151106,Bathinda,Punjab
151108,Bathinda,Punjab
151111,Bathinda,Punjab
151201,Bathinda,Punjab
151202,Faridkot,Punjab
151202,Sri Muktsar Sahib,Punjab
151203,Faridkot,Punjab
151204,Faridkot,Punjab
151205,Faridkot,Punjab
